id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm160034,Humpty Sharma Ki Dulhania,MOVIE,"A girl from Ambala, Kavya Pratap Singh, is about to be married. When she visits Delhi to shop for her 'dhai lakh ka Ghagra'(wedding dress worth Rs. 2.5 Lakh), she meets Humpty Sharma, a carefree Delhiite, and falls in love with him.",2014,PG,133,"['drama', 'comedy', 'romance']",['IN'],,tt3678938,6.0,12969,0.0,0.0
tm142630,Ragini MMS 2,MOVIE,A sleazy film director's decision to shoot his latest erotic horror movie in a notorious haunted house angers the vengeful spirit of its past inhabitant.,2014,PG-13,120,['horror'],['IN'],,tt2609218,3.9,2903,0.0,0.0
tm149578,Mission Blue,MOVIE,"Feature documentary about legendary oceanographer, marine biologist, environmentalist and National Geographic Explorer-in-Residence Sylvia Earle, and her campaign to create a global network of protected marine sanctuaries",2014,PG,94,"['documentation', 'drama']",['US'],,tt2004304,7.9,1991,0.0,0.0
tm176481,Chennai Express,MOVIE,"Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route, he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India, an unanticipated drive awaits them.",2013,PG-13,141,"['romance', 'drama', 'action', 'comedy']",['IN'],,tt2112124,6.0,53939,0.0,0.0
tm137379,Silent,MOVIE,A duo of street performers learns how sound and picture work together to create amazing cinema experiences.,2014,,3,"['animation', 'family', 'action']",['US'],,,,,0.0,0.0
tm360904,The Meaning of Monty Python,MOVIE,"A discussion between John Cleese, Michael Palin, Eric Idle, Terry Gilliam and Terry Jones about their film The Meaning of Life",2013,,60,['documentation'],['US'],,,,,0.0,0.0
tm167107,Saheb Biwi Aur Gangster Returns,MOVIE,"The Royal Scandal, the war for power and fight for money continues with the return of Saheb Biwi Aur Gangster. Aditya Pratap Singh (Jimmy Sheirgill) is crippled and is trying to recover from the physical disability and his wifes betrayal. The lover cum seductress Madhavi Devi (Mahie Gill) is now an MLA, her relationship with Aditya may have broken to shambles but her relation with alcohol is deep, dark and daunting. Indarjeet Singh, a ragged prince who has lost everything but his pride, pledges to get back his familys respect which was once destroyed by Adityas ancestors. Ranjana is a modern ambitious girl who is madly in love with Indarjeet Singh (Irrfan Khan). The story takes a new turn when Aditya falls in love with Ranjana and forces Birendra (Raj Babbar) her father, for their marriage. In this game of live chess between Saheb, Biwi and Gangster, the winner, the survivor takes it all.",2013,,142,"['action', 'crime', 'thriller', 'drama']",['IN'],,tt2362778,6.7,3997,0.0,0.0
tm158546,Raja Natwarlal,MOVIE,"Based on the story of a notorious real-life con man, this twisty Bollywood thriller revolves around cunning fraudster Raja Natwarlal, who pulls off a series of two-bit scams in Mumbai on his way to a big swindle. A small-time con man wants to get into the big leagues and take on a Goliath in the world of scams.",2014,PG,141,"['thriller', 'crime']",['IN'],,tt3483712,6.1,4311,0.0,0.0
tm236725,My Beautiful Broken Brain,MOVIE,"A profoundly personal voyage into the complexity, fragility and wonder of the human brain, after Lotje Sodderland miraculously survives a hemorrhagic stroke and finds herself starting again in an alien world, bereft of language and logic. This feature documentary takes us on a genre-twisting tale that is by turns excruciating and exquisite - from the devastating consequences of a first-time neurological experiment, through to the extraordinary revelations of her altered sensory perception.",2014,,84,['documentation'],['GB'],,tt3815136,7.0,2286,0.0,0.0
tm370430,Liberated: The New Sexual Revolution,MOVIE,A documentary about today's young adult hookup culture and the stories in pop-culture that influence it.,2017,,84,['documentation'],"['US', 'MX']",,tt6710214,6.0,1502,0.0,0.0
tm151210,Jim Gaffigan: Obsessed,MOVIE,"Jim Gaffigan bursts back on the scene with this eagerly anticipated fourth comedy special. Dubbed the ""King of Clean Comedy"" by The Wall Street Journal, Jim's obsession with all things food comes to fruition on Obsessed as he tackles a cornucopia of new food topics from fruit to seafood to donuts. Get ready for 70 minutes of non-stop laughs at Jim's twisted-yet-enlightened observations on the seemingly mundane topics that have made him a fixture in the comedy world for audiences of all ages.",2014,,70,"['comedy', 'documentation']",['US'],,tt3481550,7.6,2244,0.0,0.0
tm146657,Jeff Dunham: All Over the Map,MOVIE,"Jeff Dunham and his iconic creations, Achmed, Walter, Peanut, and Bubba J. have embarked on an unprecedented world tour through five continents, logging almost 100,000 miles and starring in arenas where few American comedians have dared to perform. Tell the wrong joke in Singapore or United Arab Emirates and risk being handcuffed before you ever leave the stage. Bring Achmed the Dead Terrorist on stage in Malaysia after a government warning forbidding his presence, and you may never leave Kuala Lumpur. While Dunham crafts pop culture references that can excite a local audience upon entering each country, Jeff shows that humor is truly universal. Most of the time.",2014,PG-13,41,['comedy'],"['IL', 'NO', 'ZA', 'AE', 'GB', 'IS', 'IE']",,tt4209802,7.1,854,0.0,0.0
tm157681,Eyes of a Thief,MOVIE,A father with a dangerous secret searching for his daughter.,2014,,98,['drama'],['PS'],,tt2993406,6.6,450,0.0,0.0
tm145791,Miss Granny,MOVIE,An unappreciated old granny magically turns 20 years old again and decides to make the most of her newfound youth.,2014,,124,"['drama', 'comedy', 'music', 'family', 'fantasy']",['KR'],,tt3516378,7.2,3508,0.0,0.0
